A-200 Shampoo Concentrate	guess=drug	gold=	confidence=0.8748324827817325
Example:	Apo-Bisacodyl 26	guess=drug	gold=	confidence=0.9898245091464721
Example:	Apo-Cephalex 19	guess=drug	gold=	confidence=0.9992677919979405
Example:	Apo-Clonazepam	guess=drug	gold=	confidence=0.9732766178111669
Example:	Apo-Dimenhydrinate	guess=drug	gold=	confidence=0.9133639365128124
Example:	Apo-Dipyridamole SC	guess=drug	gold=	confidence=0.9879120032099269
Example:	Apo-Gain	guess=drug	gold=	confidence=0.9295042044222567
Example:	Apo-Indomethacin	guess=drug	gold=	confidence=0.9331916122169044
Example:	Apo-Levocarb	guess=drug	gold=	confidence=0.9063869499761152
Example:	Apo-Metformin	guess=drug	gold=	confidence=0.9478527422069265
Example:	Apo-Terfenadine 15	guess=drug	gold=	confidence=0.9991004742930601
Example:	Apo-Thioridazine 11	guess=drug	gold=	confidence=0.9979375647749602
Example:	Aprodrine 28	guess=drug	gold=	confidence=0.8427646787368946
Example:	Aquasol A	guess=drug	gold=	confidence=0.586866980272504
Example:	Aristocort D 18	guess=drug	gold=	confidence=0.9505501698872464
Example:	Arthrisin	guess=person	gold=	confidence=0.4340723219737028
Example:	Arthritis Pain Ascriptin	guess=drug	gold=	confidence=0.3798749886566357
Example:	Arthritis Strength Bufferin	guess=person	gold=	confidence=0.5735714508755025
Example:	Arthrotec 75	guess=drug	gold=	confidence=0.8967554496176495
Example:	Aspir-Low	guess=drug	gold=	confidence=0.5935351107519601
Example:	Aspirin Plus Stomach Guard Extra Strength	guess=drug	gold=	confidence=0.3959869039006614
Example:	Aspirin Regimen Bayer Regular Strength Caplets	guess=person	gold=	confidence=0.33825366176924965
Example:	Aspirtab	guess=drug	gold=	confidence=0.6266471053712436
Example:	Astracaine 4% Forte	guess=drug	gold=	confidence=0.8965569095328085
Example:	Atrohist Plus	guess=drug	gold=	confidence=0.5739527202685054
Example:	Bain de Soleil All Day Sunfilter 31	guess=drug	gold=	confidence=0.9249652306613069
Example:	Bain de Soleil Long Lasting Sport Sunblock 31	guess=drug	gold=	confidence=0.7205234585875611
Example:	Bain de Soleil Mega Tan 26	guess=movie	gold=	confidence=0.7900092448274405
Example:	Bancap-HC	guess=drug	gold=	confidence=0.5218635017500703
Example:	Banophen 10	guess=drug	gold=	confidence=0.8503751825147858
Example:	Barbita	guess=place	gold=	confidence=0.43238323568095133
Example:	Barriere-HC	guess=place	gold=	confidence=0.5654459217938453
Example:	BCNU	guess=drug	gold=	confidence=0.39833510250080995
Example:	Beben	guess=place	gold=	confidence=0.5674553299456805
Example:	Because	guess=place	gold=	confidence=0.4418792682626418
Example:	Benadryl Allergy 10	guess=drug	gold=	confidence=0.9248634741792335
Example:	Benadryl Allergy/Cold 18	guess=drug	gold=	confidence=0.9904364364787486
Example:	Benylin 4 Flu 136	guess=drug	gold=	confidence=0.999779643917137
Example:	Benzacot	guess=drug	gold=	confidence=0.5653394751277157
Example:	Benzfetamine	guess=drug	gold=	confidence=0.4426324817257672
Example:	Beta-HC	guess=drug	gold=	confidence=0.7590443787154867
Example:	Betaloc Durules	guess=person	gold=	confidence=0.39517291497044826
Example:	Betnesol	guess=place	gold=	confidence=0.33608389923664006
Example:	BIAVAX II	guess=person	gold=	confidence=0.5529228137768871
Example:	Bisacolax 26	guess=drug	gold=	confidence=0.9336775692505478
Example:	Blistex Medicated Lip Conditioner with Sunscreen 24	guess=drug	gold=	confidence=0.7123300842957622
Example:	Blocadren 14	guess=drug	gold=	confidence=0.955908601347564
Example:	Bontril Slow-Release	guess=place	gold=	confidence=0.35371729767460264
Example:	Botox	guess=drug	gold=	confidence=0.42723732218011934
Example:	Brethine	guess=place	gold=	confidence=0.5874084864988679
Example:	Brevoxyl-4 Cleansing Lotion	guess=drug	gold=	confidence=0.96614979215445
Example:	Brevoxyl-4 Gel	guess=drug	gold=	confidence=0.9607072045289726
Example:	Bromadrine PD	guess=drug	gold=	confidence=0.7570514461829597
Example:	Bromfenex	guess=drug	gold=	confidence=0.7003438911885626
Example:	Bromo-Seltzer	guess=drug	gold=	confidence=0.853046944427876
Example:	Bronalide	guess=drug	gold=	confidence=0.4823841603643455
Example:	Broncomar GG	guess=drug	gold=	confidence=0.43369538708891314
Example:	Brotane DX Cough 22	guess=drug	gold=	confidence=0.9112417519435829
Example:	Bucet	guess=place	gold=	confidence=0.5090234629016704
Example:	Bufferin Caplets	guess=drug	gold=	confidence=0.3786656504716349
Example:	Buphenyl	guess=place	gold=	confidence=0.7266317971180604
Example:	Butibel	guess=place	gold=	confidence=0.4114766844097766
Example:	Cafertine	guess=place	gold=	confidence=0.421225913969345
Example:	Caffedrine Caplets	guess=drug	gold=	confidence=0.43824331066578304
Example:	Calamox	guess=drug	gold=	confidence=0.8122228647718905
Example:	Calciday 667	guess=drug	gold=	confidence=0.9517729412287163
Example:	Calglycine 18	guess=drug	gold=	confidence=0.980821273809679
Example:	Calmine	guess=drug	gold=	confidence=0.5785566709111087
Example:	Calmylin #1	guess=drug	gold=	confidence=0.9439302190801121
Example:	Calmylin Original with Codeine 12	guess=drug	gold=	confidence=0.7893495856331836
Example:	Camptosar	guess=place	gold=	confidence=0.4976665556584842
Example:	Canesten 3-Day Therapy	guess=drug	gold=	confidence=0.9390443119290729
Example:	Catrix Lip Saver 41	guess=drug	gold=	confidence=0.9907715012310382
Example:	Caverject	guess=place	gold=	confidence=0.4717909576530948
Example:	Cee-500	guess=drug	gold=	confidence=0.9749623049557364
Example:	Ceftin 18	guess=drug	gold=	confidence=0.9574237563104644
Example:	Cefzil 13	guess=drug	gold=	confidence=0.9935595429322404
Example:	Celestoderm-V	guess=place	gold=	confidence=0.5013659106675483
Example:	Ceo-Two	guess=place	gold=	confidence=0.41872495700558626
Example:	Children's Formula Cough 109	guess=movie	gold=	confidence=0.8423931909124118
Example:	Chlor-Trimeton Allergy-D 12 Hour 15	guess=drug	gold=	confidence=0.9999754931345898
Example:	Chlor-Tripolon N.D. 21	guess=drug	gold=	confidence=0.9992253536069625
Example:	Chlorgest-HD 26	guess=drug	gold=	confidence=0.9948488339123202
Example:	Chloromag	guess=place	gold=	confidence=0.4718895494152681
Example:	Chlortox 13	guess=drug	gold=	confidence=0.9993311206853939
Example:	Chooz 18	guess=drug	gold=	confidence=0.8305937743558255
Example:	Cidomycin	guess=drug	gold=	confidence=0.3834781366935927
Example:	Cillium	guess=drug	gold=	confidence=0.43202233994559575
Example:	Citro-Mag	guess=drug	gold=	confidence=0.731550005315596
Example:	Citro-Mag 14	guess=drug	gold=	confidence=0.9985891766300108
Example:	Citrocarbonate	guess=drug	gold=	confidence=0.4876493219929318
Example:	Clear by Design Medicated Cleansing Pads	guess=person	gold=	confidence=0.5383138038460193
Example:	Clearasil Double Textured Pads Regular Strength	guess=person	gold=	confidence=0.7534344633328991
Example:	Clearasil Maximum Strength Medicated Anti-Acne 10 Vanishing Cream	guess=drug	gold=	confidence=0.8829995083594787
Example:	Clearasil Maximum Strength Medicated Anti-Acne 10 Vanishing Lotion	guess=drug	gold=	confidence=0.8374124896861819
Example:	Cleocin T Topical Solution	guess=company	gold=	confidence=0.5605105969895541
Example:	Clinagen LA 40	guess=drug	gold=	confidence=0.9044361481096811
Example:	CMT	guess=drug	gold=	confidence=0.38347620955215383
Example:	Co-codaprin	guess=drug	gold=	confidence=0.6449446441432621
Example:	Co-Complex DM Caplets 124	guess=drug	gold=	confidence=0.9999752786790426
Example:	Codehist DH 32	guess=drug	gold=	confidence=0.9594915372375619
Example:	Codimal DM 46	guess=drug	gold=	confidence=0.9677890095459786
Example:	Cogentin	guess=place	gold=	confidence=0.37576694491203605
Example:	Cold & Cough Medicine TheraFlu Maximum Strength Non-Drowsy Formula Flu124	guess=drug	gold=	confidence=0.9915740308938018
Example:	Colestid	guess=place	gold=	confidence=0.41662317598432375
Example:	Colyte	guess=drug	gold=	confidence=0.33336527090721035
Example:	Comtrex Allergy-Sinus Caplets 13	guess=drug	gold=	confidence=0.9994275383116762
Example:	Comtrex Daytime Caplets 124	guess=drug	gold=	confidence=0.9992325413789555
Example:	Concentrin 132	guess=drug	gold=	confidence=0.99706759704264
Example:	Constulose 13	guess=drug	gold=	confidence=0.9630561212750353
Example:	Contac Cold/Flu Day Caplets 124	guess=drug	gold=	confidence=0.9994469789498112
Example:	Coppertone Sport Ultra Sweatproof 41	guess=drug	gold=	confidence=0.9848135737876267
Example:	Correctol 26	guess=drug	gold=	confidence=0.9800759077006133
Example:	Cort-Dome	guess=drug	gold=	confidence=0.9105006633944468
Example:	Cortastat	guess=drug	gold=	confidence=0.6334536729562296
Example:	Cortisol	guess=drug	gold=	confidence=0.6244581233256964
Example:	Cortone Acetate	guess=drug	gold=	confidence=0.766006887519038
Example:	CoSudafed 120	guess=drug	gold=	confidence=0.9391069771155374
Example:	Cutar Water Dispersible Emollient Tar	guess=person	gold=	confidence=0.4415260597492147
Example:	Cytovene	guess=drug	gold=	confidence=0.3638769710698848
Example:	D-S-S 44	guess=drug	gold=	confidence=0.9998623715110265
Example:	D.O.S. Softgels 44	guess=drug	gold=	confidence=0.996569856518331
Example:	Dalacin C Phosphate	guess=drug	gold=	confidence=0.4462787879999922
Example:	Dalacin T Topical Solution	guess=company	gold=	confidence=0.42545361868628334
Example:	Dalmane	guess=drug	gold=	confidence=0.44237369680363664
Example:	Danocrine	guess=person	gold=	confidence=0.5529811788522256
Example:	Dapacin Cold	guess=company	gold=	confidence=0.5691514109349242
Example:	Daraprim	guess=drug	gold=	confidence=0.3029005749600621
Example:	DDAVP Nasal Spray	guess=drug	gold=	confidence=0.8527973526937421
Example:	Deconhist	guess=drug	gold=	confidence=0.4932074506118712
Example:	Demi-Regroton	guess=drug	gold=	confidence=0.5965315131655746
Example:	Depacon	guess=drug	gold=	confidence=0.7111341297688777
Example:	DermaZinc Cream	guess=drug	gold=	confidence=0.6347595088154644
Example:	Dermoxyl 20 Gel	guess=drug	gold=	confidence=0.6194718792623982
Example:	Desenex Antifungal Liquid	guess=drug	gold=	confidence=0.843647906967271
Example:	Desenex Antifungal Penetrating Foam	guess=drug	gold=	confidence=0.7128674914672697
Example:	Desenex Powder	guess=drug	gold=	confidence=0.5298116268409085
Example:	Desferal	guess=drug	gold=	confidence=0.39786820092775377
Example:	Desquam-E 10 Gel	guess=drug	gold=	confidence=0.9613401570678235
Example:	Desquam-X 5 Gel	guess=drug	gold=	confidence=0.9752938936525296
Example:	Dexafed Cough 126	guess=drug	gold=	confidence=0.9859201485274521
Example:	Dexamethasone Intensol	guess=drug	gold=	confidence=0.5226295566014881
Example:	DHS Tar Shampoo	guess=drug	gold=	confidence=0.4411124085223544
Example:	Di-Sosul Forte 38	guess=drug	gold=	confidence=0.9829246704552705
Example:	DiabetiSource	guess=drug	gold=	confidence=0.7269633772649737
Example:	Dialose 44	guess=drug	gold=	confidence=0.9946565472067984
Example:	Dialose Plus 42	guess=drug	gold=	confidence=0.971929123710113
Example:	Diarrest	guess=drug	gold=	confidence=0.4329678464286593
Example:	Dilocaine	guess=drug	gold=	confidence=0.6406074899267136
Example:	Dimetane-DC Cough 20	guess=drug	gold=	confidence=0.9778655411527174
Example:	Dimetapp Chewables	guess=drug	gold=	confidence=0.6455297397244705
Example:	Dimetapp Cold & Fever Suspension	guess=company	gold=	confidence=0.7990041270294316
Example:	Dimetapp DM 21	guess=drug	gold=	confidence=0.9952731753380654
Example:	Diocto 44	guess=drug	gold=	confidence=0.9979353535732579
Example:	Dioeze 44	guess=drug	gold=	confidence=0.9949297416628144
Example:	Disobrom 19	guess=drug	gold=	confidence=0.6795922099507703
Example:	Doak Oil Forte Therapeutic Bath Treatment	guess=movie	gold=	confidence=0.8577046134112352
Example:	Doak Oil Therapeutic Bath Treatment For All-Over Body Care	guess=movie	gold=	confidence=0.8711636230681625
Example:	Dodd's Pills	guess=movie	gold=	confidence=0.6093905150923851
Example:	Dolagesic	guess=drug	gold=	confidence=0.311288274257149
Example:	Dolgesic	guess=drug	gold=	confidence=0.3366532230346205
Example:	Dorcol Children's Cough 132	guess=drug	gold=	confidence=0.9633220802334326
Example:	Dormarex 2 10	guess=drug	gold=	confidence=0.8501083509093772
Example:	Dosaflex 35	guess=drug	gold=	confidence=0.9948781618957993
Example:	Dostinex	guess=drug	gold=	confidence=0.6472765127177447
Example:	Dristan Long Lasting Nasal Mist	guess=movie	gold=	confidence=0.4896552439660272
Example:	Drixoral Nasal Decongestant	guess=drug	gold=	confidence=0.8696455231845582
Example:	DTIC-Dome	guess=drug	gold=	confidence=0.9237059651127711
Example:	Duoplant Topical Solution	guess=drug	gold=	confidence=0.7079770511374391
Example:	Duosol 44	guess=drug	gold=	confidence=0.9933995042358297
Example:	Dura-Vent 141	guess=drug	gold=	confidence=0.9999435192869209
Example:	Duralone-80	guess=drug	gold=	confidence=0.9376939039773522
Example:	Duration 12 Hour Nasal Spray	guess=drug	gold=	confidence=0.8991764137725136
Example:	Dycill	guess=drug	gold=	confidence=0.581995118557972
Example:	E-400 I.U. in a Water Soluble Base	guess=movie	gold=	confidence=0.9778878973063293
Example:	Easprin	guess=place	gold=	confidence=0.522656726407015
Example:	Ecostatin Vaginal Ovules	guess=movie	gold=	confidence=0.4213782388210085
Example:	Ectosone Scalp Lotion	guess=company	gold=	confidence=0.636822872046254
Example:	Ed A-Hist 10	guess=drug	gold=	confidence=0.8608777955642058
Example:	ED-SPAZ	guess=drug	gold=	confidence=0.9684152025483783
Example:	Effer-K	guess=drug	gold=	confidence=0.5289482310610557
Example:	Eflone	guess=place	gold=	confidence=0.3318121850248456
Example:	Empirin with Codeine No.3	guess=company	gold=	confidence=0.42677325536692523
Example:	Enduronyl Forte	guess=drug	gold=	confidence=0.4399990721082539
Example:	Enfamil Human Milk Fortifier	guess=movie	gold=	confidence=0.5983118547238885
Example:	Ensure Plus	guess=person	gold=	confidence=0.447146282633627
Example:	Ensure Plus HN	guess=person	gold=	confidence=0.49851603969484454
Example:	Entex Liquid 140	guess=drug	gold=	confidence=0.9982528921605445
Example:	Entrophen 15 Maximum Strength Tablets	guess=drug	gold=	confidence=0.9936005278191928
Example:	Epival	guess=drug	gold=	confidence=0.404239270148556
Example:	ERYC-250	guess=drug	gold=	confidence=0.9986337598538344
Example:	Ethyl aminobenzoate	guess=movie	gold=	confidence=0.4700074602406398
Example:	Etrafon-F	guess=drug	gold=	confidence=0.7621301977303937
Example:	Eurax Lotion	guess=drug	gold=	confidence=0.3418587086659747
Example:	Evac-U-Gen 33	guess=drug	gold=	confidence=0.9981933077425694
Example:	Ex-Lax Maximum Relief Formula 33	guess=drug	gold=	confidence=0.9994870262746433
Example:	Excedrin Migraine	guess=drug	gold=	confidence=0.43134527297111064
Example:	Exgest LA 141	guess=drug	gold=	confidence=0.9994982839372094
Example:	EZE-DS	guess=drug	gold=	confidence=0.9122448837132157
Example:	Famvir	guess=movie	gold=	confidence=0.29702619890872034
Example:	Fansidar	guess=movie	gold=	confidence=0.32795828355080175
Example:	Felbatol	guess=place	gold=	confidence=0.5422196720087838
Example:	Feldene 16	guess=drug	gold=	confidence=0.8437462550143295
Example:	Femcet	guess=drug	gold=	confidence=0.6017212134364422
Example:	Ferospace	guess=drug	gold=	confidence=0.4447003726235829
Example:	Fertinex	guess=drug	gold=	confidence=0.7361512024064177
Example:	Fibercon Caplets	guess=drug	gold=	confidence=0.4802285539068017
Example:	Flagyl	guess=drug	gold=	confidence=0.3773522600205137
Example:	Fleet Laxative 26	guess=drug	gold=	confidence=0.957529086050528
Example:	Flonase	guess=drug	gold=	confidence=0.32492236353229986
Example:	Florone	guess=drug	gold=	confidence=0.36207866745776346
Example:	Flovent	guess=drug	gold=	confidence=0.43573740063815636
Example:	Fluocin 10	guess=drug	gold=	confidence=0.9611797466533357
Example:	FluShield	guess=drug	gold=	confidence=0.7946599390354758
Example:	FML Liquifilm	guess=drug	gold=	confidence=0.7464710562667028
Example:	Furamide	guess=drug	gold=	confidence=0.36543169812277393
Example:	Gammar-P IV	guess=drug	gold=	confidence=0.6721160040869687
Example:	Gas-X Extra Strength	guess=drug	gold=	confidence=0.7883161556834992
Example:	Gee-Gee	guess=place	gold=	confidence=0.3477959168909495
Example:	Gen-Allerate	guess=drug	gold=	confidence=0.9166343828486007
Example:	Gen-Clonazepam	guess=drug	gold=	confidence=0.9448605345321957
Example:	Gen-Cromoglycate	guess=drug	gold=	confidence=0.8918280209887681
Example:	Genatuss DM 109	guess=drug	gold=	confidence=0.9391283096856101
Example:	Genoptic Liquifilm	guess=drug	gold=	confidence=0.9571395992353674
Example:	Genora 0.5/35	guess=drug	gold=	confidence=0.9998813864296121
Example:	Genpril Caplets	guess=drug	gold=	confidence=0.5935448224422886
Example:	Gentle Laxative 26	guess=drug	gold=	confidence=0.9814392524983785
Example:	Glaucon	guess=place	gold=	confidence=0.3134427039461923
Example:	Glucotrol	guess=drug	gold=	confidence=0.528693657164209
Example:	Glycon	guess=drug	gold=	confidence=0.4564977037258282
Example:	Glydeine Cough 106	guess=drug	gold=	confidence=0.7970722192247714
Example:	Gravol I/V	guess=person	gold=	confidence=0.37696298704877346
Example:	Guaifed 142	guess=drug	gold=	confidence=0.9876415804554628
Example:	Guaifenex PPA 75 141	guess=drug	gold=	confidence=0.9999489893282116
Example:	Gyne-Lotrimin	guess=drug	gold=	confidence=0.7252581603935386
Example:	GyneCure Vaginal Ovules Tandempak	guess=movie	gold=	confidence=0.5003149509200017
Example:	Gynol II Extra Strength Contraceptive Jelly	guess=company	gold=	confidence=0.7754823228804926
Example:	Halog-E 13	guess=drug	gold=	confidence=0.9962761351393945
Example:	Halotussin-DM 109	guess=drug	gold=	confidence=0.9830774064784203
Example:	Haltran	guess=place	gold=	confidence=0.4644668207528703
Example:	Hawaiian Tropic Land Sport 33	guess=drug	gold=	confidence=0.9453198373842646
Example:	Hawaiian Tropic Sport Sunblock 28 29	guess=drug	gold=	confidence=0.7359484535031229
Example:	Headache Tablet	guess=movie	gold=	confidence=0.33657156962321544
Example:	Healthprin Adult Low Strength	guess=person	gold=	confidence=0.32659070406066726
Example:	Hemocyte	guess=place	gold=	confidence=0.37166364911427613
Example:	Hexadrol	guess=place	gold=	confidence=0.43055020462854077
Example:	Hi-Cor 1.0	guess=drug	gold=	confidence=0.9513142489219756
Example:	Hista-Vadrin 11	guess=drug	gold=	confidence=0.9951949037123625
Example:	Humate-P	guess=drug	gold=	confidence=0.8110835966844262
Example:	Humatrope	guess=drug	gold=	confidence=0.5117757031648241
Example:	Humulin R	guess=drug	gold=	confidence=0.43558575141100636
Example:	Humulin-N	guess=drug	gold=	confidence=0.7858193843110302
Example:	Hydergine LC	guess=drug	gold=	confidence=0.5506685479676282
Example:	Hydro-chlor	guess=drug	gold=	confidence=0.6589016436475721
Example:	Hydrocodone with APAP	guess=drug	gold=	confidence=0.7379464790678321
Example:	Hydromox	guess=drug	gold=	confidence=0.8152012052676675
Example:	Hydropres	guess=drug	gold=	confidence=0.48595072713529874
Example:	Hyzine-50 12	guess=drug	gold=	confidence=0.9967663373480026
Example:	Ibu-200	guess=drug	gold=	confidence=0.9354849608650535
Example:	Idamycin	guess=drug	gold=	confidence=0.2737401712885579
Example:	IGIV	guess=person	gold=	confidence=0.3755763040979298
Example:	Inapsine	guess=company	gold=	confidence=0.4310589590207677
Example:	Indocin SR	guess=company	gold=	confidence=0.6753828303952816
Example:	Introlite	guess=movie	gold=	confidence=0.4264780482373048
Example:	Intron A	guess=company	gold=	confidence=0.5440736549943426
Example:	Ipol	guess=company	gold=	confidence=0.5409816846182846
Example:	Isobutyl	guess=drug	gold=	confidence=0.8066669601901166
Example:	Isocaine	guess=drug	gold=	confidence=0.8299089969995426
Example:	Isocaine 2%	guess=drug	gold=	confidence=0.9340608286591089
Example:	Isocal	guess=drug	gold=	confidence=0.8540719333867988
Example:	Isopap	guess=drug	gold=	confidence=0.8206882819033886
Example:	K+ Care ET	guess=company	gold=	confidence=0.6093719982408188
Example:	Kadian	guess=place	gold=	confidence=0.3148967570476515
Example:	Kato	guess=person	gold=	confidence=0.3524592708666367
Example:	Kefzol	guess=place	gold=	confidence=0.3660978401134025
Example:	Kenalog-10	guess=drug	gold=	confidence=0.9378055103607024
Example:	Key-Pred SP	guess=drug	gold=	confidence=0.7104872110734629
Example:	Klean-Prep	guess=drug	gold=	confidence=0.5508922330686334
Example:	Klotrix	guess=drug	gold=	confidence=0.7464856225591304
Example:	Kwelcof Liquid 112	guess=drug	gold=	confidence=0.9891125449417972
Example:	L-Caine	guess=drug	gold=	confidence=0.5551287374088522
Example:	L-PAM	guess=drug	gold=	confidence=0.8101437664851003
Example:	Lacril	guess=drug	gold=	confidence=0.37785142698406426
Example:	Lacrisert	guess=place	gold=	confidence=0.41989744228187675
Example:	LAM	guess=drug	gold=	confidence=0.41947280552529065
Example:	Lanophyllin	guess=place	gold=	confidence=0.6461410839418539
Example:	Lanoxin	guess=drug	gold=	confidence=0.6273441832431635
Example:	Largactil Liquid	guess=drug	gold=	confidence=0.6072691739703502
Example:	Levbid	guess=drug	gold=	confidence=0.38475476926607693
Example:	Levsinex Timecaps	guess=drug	gold=	confidence=0.7870335424478373
Example:	Lidoxide	guess=drug	gold=	confidence=0.4860895043618962
Example:	Lioresal Intrathecal	guess=person	gold=	confidence=0.2577139335574812
Example:	Liquaemin	guess=drug	gold=	confidence=0.5051120103585076
Example:	Liqui-Char	guess=drug	gold=	confidence=0.6792347514564453
Example:	Liquid-Cal	guess=drug	gold=	confidence=0.8207656558971159
Example:	Lithotabs	guess=place	gold=	confidence=0.7286105408586179
Example:	Lodine	guess=place	gold=	confidence=0.37672669167925743
Example:	Lorcet-HD	guess=drug	gold=	confidence=0.7228727905770086
Example:	Lotrimin AF Cream	guess=drug	gold=	confidence=0.5416718016929226
Example:	Lovenox	guess=movie	gold=	confidence=0.4262537885613777
Example:	Lowsium Plus 24	guess=drug	gold=	confidence=0.8720586275415294
Example:	Lufyllin	guess=place	gold=	confidence=0.6150330671285819
Example:	Luminal	guess=place	gold=	confidence=0.4585588892100802
Example:	Lumitene	guess=place	gold=	confidence=0.4935833810073014
Example:	Lupron	guess=place	gold=	confidence=0.4338280664674526
Example:	Lyme disease vaccine	guess=movie	gold=	confidence=0.8485071557839959
Example:	Macrobid	guess=place	gold=	confidence=0.5745867625269667
Example:	Maltsupex	guess=place	gold=	confidence=0.47988645194078683
Example:	Marinol	guess=place	gold=	confidence=0.4488409602877543
Example:	Mavik 12	guess=drug	gold=	confidence=0.6871610818065378
Example:	Maxeran	guess=person	gold=	confidence=0.3680304098079311
Example:	Maximum Strength Gas Relief	guess=person	gold=	confidence=0.5098869886346017
Example:	Maximum Strength Mylanta Gas Relief	guess=movie	gold=	confidence=0.4908372555495673
Example:	Maximum Strength SnapBack Stimulant Powders	guess=movie	gold=	confidence=0.5244819873935311
Example:	Medrol	guess=drug	gold=	confidence=0.37599320683775916
Example:	Megral	guess=place	gold=	confidence=0.4761792186849035
Example:	Menaval-20	guess=drug	gold=	confidence=0.8887267222360478
Example:	Meridia	guess=place	gold=	confidence=0.32668992276521075
Example:	Merrem I.V.	guess=company	gold=	confidence=0.5969875636807677
Example:	Meruvax II	guess=company	gold=	confidence=0.46576580673456264
Example:	Mestinon	guess=drug	gold=	confidence=0.3558192989296425
Example:	Methacort 80	guess=drug	gold=	confidence=0.8109745885060761
Example:	METHYPRYLON	guess=drug	gold=	confidence=0.7835503858081326
Example:	Midahist DH 32	guess=drug	gold=	confidence=0.9340902413426009
Example:	Miltown	guess=place	gold=	confidence=0.7291244535380383
Example:	Minims Phenylephrine	guess=drug	gold=	confidence=0.3199218685322153
Example:	Minipress	guess=drug	gold=	confidence=0.3654650564290025
Example:	Mithracin	guess=place	gold=	confidence=0.3441181931943854
Example:	Moban	guess=place	gold=	confidence=0.3889710708511965
Example:	Modane Bulk	guess=movie	gold=	confidence=0.5546383428789389
Example:	Modecate	guess=drug	gold=	confidence=0.4287834284468167
Example:	Mogadon 13	guess=drug	gold=	confidence=0.9539262155638204
Example:	Monistat 3	guess=drug	gold=	confidence=0.8649951584540153
Example:	Monistat 3 Dual-Pak	guess=drug	gold=	confidence=0.9143656876745132
Example:	Monopril	guess=place	gold=	confidence=0.4104077759002422
Example:	Myciguent	guess=drug	gold=	confidence=0.6012229892490624
Example:	MyCort	guess=drug	gold=	confidence=0.34472912621151924
Example:	Mydriacyl	guess=drug	gold=	confidence=0.38540153211192696
Example:	Mygel II	guess=company	gold=	confidence=0.4991446414014545
Example:	Mylanta Gas	guess=drug	gold=	confidence=0.37710779382158255
Example:	Mylanta Sugar Free Natural Fiber Supplement	guess=drug	gold=	confidence=0.5640543966773789
Example:	Myolin	guess=drug	gold=	confidence=0.31842362452908546
Example:	Myotrol	guess=place	gold=	confidence=0.3562088218577056
Example:	N-IPV	guess=drug	gold=	confidence=0.8421910310228502
Example:	N.E.E. 1/50	guess=drug	gold=	confidence=0.9950666144198714
Example:	Nadostine	guess=place	gold=	confidence=0.4386190460475625
Example:	Naftin	guess=drug	gold=	confidence=0.4679895032716132
Example:	Nalda-Relief Pediatric Drops 14	guess=drug	gold=	confidence=0.9986802097140727
